,info
252,Sia-Chandelier-2014
413,Sia-Cheap Thrills-2016
293,Sia-Elastic Heart-2015
505,Sia-Free Me-2017
462,Sia-The Greatest-2017
480,Sigala-Came Here for Love-2017
318,Sigala-Easy Love-2015
519,Silk City-Electricity (with Dua Lipa)-2018
96,Sleeping At Last-Turning Page-2011
416,Snakehips-Cruel (feat. ZAYN)-2016
637,Surf Mesa-ily (i love you baby) (feat. Emilee)-2020
631,Surfaces-Sunday Best-2020
146,Swedish House Mafia-Don't You Worry Child - Radio Edit-2013
48,T.I.-Castle Walls (feat. Christina Aguilera)-2010
95,T.I.-Castle Walls (feat. Christina Aguilera)-2011
645,THE SCOTTS-THE SCOTTS-2020
49,Taio Cruz-Break Your Heart-2010
6,Taio Cruz-Dynamite-2010
701,Tate McRae-you broke me first-2021
569,Taylor Swift-...Ready For It? - BloodPop® Remix-2018
549,Taylor Swift-End Game-2018
109,Taylor Swift-I Knew You Were Trouble.-2012
537,Taylor Swift-Look What You Made Me Do-2018
407,Taylor Swift-Out Of The Woods-2016
215,Taylor Swift-Shake It Off-2014
113,Taylor Swift-We Are Never Ever Getting Back Together-2012
152,Taylor Swift-We Are Never Ever Getting Back Together-2013
33,The Black Eyed Peas-Imma Be-2010
70,The Black Eyed Peas-Just Cant Get Enough-2011
20,The Black Eyed Peas-Meet Me Halfway-2010
38,The Black Eyed Peas-Rock That Body-2010
17,The Black Eyed Peas-The Time (Dirty Bit)-2010
240,The Chainsmokers-#SELFIE-2014
394,The Chainsmokers-All We Know-2016
593,The Chainsmokers-Call You Mine-2019
444,The Chainsmokers-Closer-2017
366,The Chainsmokers-Don't Let Me Down-2016
602,The Chainsmokers-Kills You Slowly-2019
464,The Chainsmokers-Paris-2017
387,The Chainsmokers-Roses-2016
535,The Chainsmokers-Sick Boy-2018
455,The Chainsmokers-Something Just Like This-2017
590,The Chainsmokers-Takeaway-2019
655,The Kid LAROI-STAY (with Justin Bieber)-2021
679,The Kid LAROI-WITHOUT YOU-2021
690,The Neighbourhood-Sweater Weather-2021
143,The Script-Hall of Fame-2013
119,The Wanted-Glad You Came-2012
180,The Wanted-Walks Like Rihanna-2013
191,The Wanted-We Own The Night-2013
603,The Weeknd-Blinding Lights-2020
660,The Weeknd-Blinding Lights-2021
278,"The Weeknd-Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack-2015"
449,The Weeknd-I Feel It Coming-2017
667,The Weeknd-Save Your Tears-2021
445,The Weeknd-Starboy-2017
270,The Weeknd-The Hills-2015
363,The Weeknd-The Hills-2016
46,Tinie Tempah-Written in the Stars (feat. Eric Turner)-2010
93,Tinie Tempah-Written in the Stars (feat. Eric Turner)-2011
673,Tiësto-The Business-2021
604,Tones And I-Dance Monkey-2020
625,Topic-Breaking Me-2020
402,Tove Lo-Cool Girl-2016
501,Tove Lo-Influence-2017
0,"Train-Hey, Soul Sister-2010"
639,Travis Scott-HIGHEST IN THE ROOM-2020
652,Travis Scott-SICKO MODE-2020
643,Travis Scott-goosebumps-2020
611,Trevor Daniel-Falling-2020
533,Troye Sivan-My My My!-2018
47,Usher-DJ Got Us Fallin' In Love (feat. Pitbull)-2010
15,Usher-OMG (feat. will.i.am)-2010
339,Wiz Khalifa-See You Again (feat. Charlie Puth)-2015
419,Years & Years-Desire-2016
517,ZAYN-Dusk Till Dawn - Radio Edit-2018
457,ZAYN-I Dont Wanna Live Forever (Fifty Shades Darker)-2017
412,ZAYN-LIKE I WOULD-2016
545,ZAYN-Let Me-2018
406,ZAYN-PILLOWTALK-2016
286,Zara Larsson-Never Forget You-2015
154,Zedd-Clarity-2013
487,Zedd-Get Low (with Liam Payne)-2017
312,Zedd-I Want You To Know-2015
244,Zedd-Stay The Night - Featuring Hayley Williams Of Paramore-2014
452,Zedd-Stay-2017
427,Zedd-True Colors-2016
122,fun.-Some Nights-2012
132,fun.-We Are Young (feat. Janelle Monáe)-2012
173,will.i.am-#thatPOWER-2013
