,info
294,Clean Bandit-Rather Be (feat. Jess Glynne)-2015
456,Clean Bandit-Rockabye (feat. Sean Paul & Anne-Marie)-2017
507,Coldplay-A L I E N S-2017
250,Coldplay-A Sky Full of Stars-2014
192,Coldplay-Atlas - From The Hunger Games: Catching Fire Soundtrack-2013
106,Coldplay-Paradise-2012
459,"DJ Khaled-I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)-2017"
600,"DJ Khaled-No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)-2019"
532,DJ Khaled-Wild Thoughts (feat. Rihanna & Bryson Tiller)-2018
448,DJ Snake-Let Me Love You-2017
596,"DJ Snake-Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)-2019"
430,DNCE-Blown-2016
491,DNCE-Body Moves-2017
365,DNCE-Cake By The Ocean-2016
506,DNCE-Kissing Strangers - Remix-2017
488,DNCE-Kissing Strangers-2017
557,DNCE-Kissing Strangers-2018
393,DNCE-Toothbrush-2016
608,DaBaby-ROCKSTAR (feat. Roddy Ricch)-2020
597,Daddy Yankee-Con Calma - Remix-2019
147,Daft Punk-Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit-2013
162,Daft Punk-Lose Yourself to Dance-2013
536,Dan + Shay-Tequila-2018
558,David Guetta-2U (feat. Justin Bieber)-2018
344,David Guetta-Bang My Head (feat. Sia & Fetty Wap)-2015
299,"David Guetta-Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)-2015"
175,David Guetta-Play Hard (feat. Ne-Yo & Akon) - New Edit-2013
35,David Guetta-Sexy Bitch (feat. Akon)-2010
248,David Guetta-Shot Me Down (feat. Skylar Grey) - Radio Edit-2014
104,David Guetta-Titanium (feat. Sia)-2012
74,David Guetta-Without You (feat. Usher)-2011
353,David Guetta-Yesterday (feat. Bebe Rexha)-2015
410,Demi Lovato-Body Say-2016
385,Demi Lovato-Confident-2016
151,Demi Lovato-Heart Attack-2013
245,"Demi Lovato-Let It Go - From ""Frozen / Single Version-2014"
185,Demi Lovato-Made In The USA-2013
304,Demi Lovato-Really Don't Care-2015
523,Demi Lovato-Sorry Not Sorry-2018
571,Demi Lovato-Tell Me You Love Me - NOTD Remix-2018
225,Disclosure-Latch-2014
659,Doja Cat-Kiss Me More (feat. SZA)-2021
692,Doja Cat-Need to Know-2021
620,Doja Cat-Say So-2020
689,Doja Cat-Streets-2021
695,Doja Cat-Woman-2021
158,"Drake-Hold On, We're Going Home-2013"
386,Drake-Too Good-2016
618,Drake-Toosie Slide-2020
634,Dua Lipa-Break My Heart-2020
607,Dua Lipa-Don't Start Now-2020
693,Dua Lipa-Don't Start Now-2021
514,Dua Lipa-IDGAF-2018
657,Dua Lipa-Levitating (feat. DaBaby)-2021
511,Dua Lipa-New Rules-2018
651,Dua Lipa-Physical-2020
553,Dua Lipa-Want To-2018
696,Duncan Laurence-Arcade-2021
595,Ed Sheeran-Antisocial (with Travis Scott)-2019
666,Ed Sheeran-Bad Habits-2021
584,Ed Sheeran-Beautiful People (feat. Khalid)-2019
345,Ed Sheeran-Bloodstream-2015
599,Ed Sheeran-Cross Me (feat. Chance the Rapper & PnB Rock)-2019
292,Ed Sheeran-Don't-2015
587,Ed Sheeran-I Don't Care (with Justin Bieber)-2019
528,Ed Sheeran-Perfect Duet (Ed Sheeran & Beyoncé)-2018
443,Ed Sheeran-Shape of You-2017
302,Ed Sheeran-Sing-2015
577,Ed Sheeran-South of the Border (feat. Camila Cabello & Cardi B)-2019
268,Ed Sheeran-Thinking out Loud-2015
196,Ellie Goulding-Anything Could Happen-2013
228,Ellie Goulding-Burn-2014
131,Ellie Goulding-Lights - Single Version-2012
277,"Ellie Goulding-Love Me Like You Do - From ""Fifty Shades Of Grey""-2015"
325,Ellie Goulding-On My Mind-2015
186,Emeli Sandé-Clown-2013
423,Emeli Sandé-Hurts-2016
184,Emeli Sandé-Next To Me-2013
632,Eminem-Godzilla (feat. Juice WRLD)-2020
1,Eminem-Love The Way You Lie-2010
559,Eminem-Walk On Water (feat. Beyoncé)-2018
197,Enrique Iglesias-Finally Found You-2013
27,Enrique Iglesias-I Like It-2010
360,Enrique Iglesias-Let Me Be Your Lover-2015
562,Enrique Iglesias-MOVE TO MIAMI-2018
83,Enrique Iglesias-Tonight (I'm Fuckin' You)-2011
14,Far East Movement-Like A G6-2010
682,Farruko-Pepas-2021
178,Fergie-A Little Party Never Killed Nobody (All We Got)-2013
239,Fergie-A Little Party Never Killed Nobody (All We Got)-2014
362,Fergie-L.A.LOVE (la la)-2015
493,Fifth Harmony-Angel-2017
321,Fifth Harmony-BO$$-2015
374,Fifth Harmony-Work from Home (feat. Ty Dolla $ign)-2016
290,Fifth Harmony-Worth It-2015
10,Flo Rida-Club Can't Handle Me (feat. David Guetta)-2010
282,Flo Rida-My House-2015
39,Florence + The Machine-Dog Days Are Over-2010
352,Florence + The Machine-St Jude-2015
422,Florence + The Machine-Wish That You Were Here - From Miss Peregrines Home for Peculiar Children Original Motion Picture-2016
622,Future-Life Is Good (feat. Drake)-2020
530,G-Eazy-Him & I (with Halsey)-2018
379,"G-Eazy-Me, Myself & I-2016"
498,Galantis-Rich Boy-2017
680,Giveon-Heartbreak Anniversary-2021
661,Glass Animals-Heat Waves-2021
347,Gwen Stefani-Baby Don't Lie-2015
428,Gwen Stefani-Make Me Like You-2016
358,Gwen Stefani-Spark The Fire-2015
136,Gym Class Heroes-Stereo Hearts (feat. Adam Levine)-2012
534,Hailee Steinfeld-Capital Letters-2018
521,"Hailee Steinfeld-Let Me Go (with Alesso, Florida Georgia Line & watt)-2018"
382,Hailee Steinfeld-Starving-2016
529,Halsey-Bad At Love-2018
624,Harry Styles-Adore You-2020
543,Harry Styles-Sign of the Times-2018
609,Harry Styles-Watermelon Sugar-2020
676,Harry Styles-Watermelon Sugar-2021
554,Hayley Kiyoko-What I Need (feat. Kehlani)-2018
437,Hilary Duff-Little Lies-2016
355,Hilary Duff-Sparks-2015
60,Hot Chelle Rae-Tonight Tonight-2011
273,Hozier-Take Me To Church-2015
174,Icona Pop-I Love It (feat. Charli XCX)-2013
230,Iggy Azalea-Fancy-2014
694,Internet Money-Lemonade (feat. Gunna Don Toliver & NAV)-2021
550,J Balvin-Mi Gente (feat. Beyoncé)-2018
698,J Balvin-Qué Más Pues?-2021
650,JP Saxe-If the World Was Ending - feat. Julia Michaels-2020
149,James Arthur-Impossible-2013
439,Janet Jackson-BURNITUP!-2016
231,Jason Derulo-Talk Dirty (feat. 2 Chainz)-2014
309,Jason Derulo-Trumpets-2015
281,Jason Derulo-Want to Want Me-2015
235,Jason Derulo-Wiggle (feat. Snoop Dogg)-2014
623,Jawsh 685-Savage Love (Laxed - Siren Beat)-2020
361,Jennifer Hudson-Dangerous-2015
391,Jennifer Lopez-Ain't Your Mama-2016
328,Jennifer Lopez-Booty-2015
129,Jennifer Lopez-Dance Again-2012
341,"Jennifer Lopez-Feel The Light - From The ""Home"" Soundtrack-2015"
266,Jennifer Lopez-I Luh Ya Papi-2014
89,Jennifer Lopez-I'm Into You-2011
99,Jennifer Lopez-Invading My Mind-2011
190,Jennifer Lopez-Live It Up-2013
71,Jennifer Lopez-On The Floor-2011
90,Jennifer Lopez-Papi-2011
348,Jess Glynne-Don't Be so Hard on Yourself-2015
333,Jessie J-Bang Bang-2015
125,Jessie J-Domino-2012
68,Jessie J-Price Tag-2011
207,Jewel-Foolish Games-2013
699,Joel Corry-Head & Heart (feat. MNEK)-2021
440,Joey Montana-Picky - Remix-2016
210,John Legend-All of Me-2014
431,John Legend-Start-2016
224,John Newman-Love Me Again-2014
466,Jonas Blue-Mama-2017
583,Jonas Brothers-Only Human-2019
198,Jonas Brothers-Pom Poms-2013
585,Jonas Brothers-Sucker-2019
648,Juice WRLD-Lucid Dreams-2020
5,Justin Bieber-Baby-2010
120,Justin Bieber-Beauty And A Beat-2012
337,Justin Bieber-Been You-2015
123,Justin Bieber-Boyfriend-2012
301,Justin Bieber-Company-2015
396,Justin Bieber-Company-2016
531,Justin Bieber-Friends (with BloodPop®)-2018
182,Justin Bieber-Heartbreaker-2013
314,Justin Bieber-I'll Show You-2015
617,Justin Bieber-Intentions (feat. Quavo)-2020
271,Justin Bieber-Love Yourself-2015
364,Justin Bieber-Love Yourself-2016
330,Justin Bieber-Mark My Words-2015
658,Justin Bieber-Peaches (feat. Daniel Caesar & Giveon)-2021
275,Justin Bieber-Sorry-2015
319,Justin Bieber-The Feeling-2015
329,Justin Bieber-What Do You Mean? - Acoustic-2015
279,Justin Bieber-What Do You Mean?-2015
633,Justin Bieber-Yummy-2020
373,"Justin Timberlake-CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")-2016"
564,Justin Timberlake-Filthy-2018
183,Justin Timberlake-Mirrors - Radio Edit-2013
267,Justin Timberlake-Not a Bad Thing-2014
541,Justin Timberlake-Say Something-2018
172,Justin Timberlake-Suit & Tie-2013
567,Justin Timberlake-Supplies-2018
188,Justin Timberlake-TKO-2013
194,Justin Timberlake-Take Back the Night-2013
613,KAROL G-Tusa-2020
678,Kali Uchis-telepatía-2021
63,Kanye West-Monster-2011
242,Katy Perry-Birthday-2014
485,Katy Perry-Bon appétit-2017
29,Katy Perry-California Gurls-2010
469,Katy Perry-Chained To The Rhythm-2017
216,Katy Perry-Dark Horse-2014
77,Katy Perry-E.T.-2011
102,Katy Perry-Firework-2011
101,Katy Perry-Last Friday Night (T.G.I.F.)-2011
357,Katy Perry-Legendary Lovers-2015
124,Katy Perry-Part Of Me-2012
408,Katy Perry-Rise-2016
144,Katy Perry-Roar-2013
468,Katy Perry-Swish Swish-2017
28,Katy Perry-Teenage Dream-2010
128,Katy Perry-The One That Got Away-2012
237,Katy Perry-This Is How We Do-2014
127,Katy Perry-Wide Awake-2012
307,Kelly Clarkson-Heartbeat Song-2015
203,Kelly Clarkson-People Like Us-2013
359,Kelly Clarkson-Run Run Run-2015
114,Kelly Clarkson-Stronger (What Doesn't Kill You)-2012
139,Kelly Clarkson-Underneath the Tree-2013
209,Kelly Rowland-Freak-2013
32,Kesha-Blah Blah Blah (feat. 3OH!3)-2010
80,Kesha-Blow-2011
201,Kesha-Crazy Kids (feat. will.i.am)-2013
153,Kesha-Die Young-2013
460,Kesha-Praying-2017
22,Kesha-Take It Off-2010
2,Kesha-TiK ToK-2010
67,Kesha-We R Who We R-2011
19,Kesha-Your Love Is My Drug-2010
588,Khalid-Talk (feat. Disclosure)-2019
474,Kygo-First Time-2017
548,Kygo-First Time-2018
582,Kygo-Higher Love-2019
453,Kygo-It Ain't Me (with Selena Gomez)-2017
66,LMFAO-Party Rock Anthem-2011
75,LMFAO-Sexy And I Know It-2011
167,Labrinth-Beneath Your Beautiful-2013
18,Lady Gaga-Alejandro-2010
195,Lady Gaga-Applause-2013
3,Lady Gaga-Bad Romance-2010
62,Lady Gaga-Born This Way-2011
243,Lady Gaga-G.U.Y.-2014
82,Lady Gaga-Judas-2011
86,Lady Gaga-Marry The Night-2011
370,Lady Gaga-Million Reasons-2016
405,Lady Gaga-Perfect Illusion-2016
638,Lady Gaga-Rain On Me (with Ariana Grande)-2020
524,Lady Gaga-Shallow - Radio Edit-2018
13,Lady Gaga-Telephone-2010
475,Lady Gaga-The Cure-2017
76,Lady Gaga-The Edge Of Glory-2011
81,Lady Gaga-You And I-2011
471,Lana Del Rey-Love-2017
499,Lana Del Rey-Lust for Life (with The Weeknd)-2017
486,Lana Del Rey-Summer Bummer (feat. A$AP Rocky & Playboi Carti)-2017
155,Lana Del Rey-Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix-2013
264,Lea Michele-Cannonball-2014
619,Lewis Capaldi-Before You Go-2020
574,Lewis Capaldi-Someone You Loved-2019
612,Lewis Capaldi-Someone You Loved-2020
684,Lewis Capaldi-Someone You Loved-2021
544,Liam Payne-Familiar-2018
552,Liam Payne-For You (With Rita Ora)-2018
482,Liam Payne-Strip That Down (feat. Quavo)-2017
616,Lil Mosey-Blueberry Faygo-2020
665,Lil Nas X-INDUSTRY BABY (feat. Jack Harlow)-2021
654,Lil Nas X-MONTERO (Call Me By Your Name)-2021
338,Lilly Wood and The Prick-Prayer in C - Robin Schulz Radio Edit-2015
263,Lily Allen-Sheezus-2014
200,Little Mix-How Ya Doin'? (feat. Missy Elliott)-2013
326,Little Mix-Love Me Like You-2015
179,Little Mix-Move-2013
383,Little Mix-Shout Out to My Ex-2016
494,Little Mix-Touch (feat. Kid Ink)-2017
581,Lizzo-Good as Hell (feat. Ariana Grande) - Remix-2019
580,Lizzo-Truth Hurts-2019
223,Lorde-Team-2014
691,Los Legendarios-Fiel-2021
492,Lost Frequencies-Reality (feat. Janieck Devy) - Radio Edit-2017
334,Lost Frequencies-Reality - Radio Edit-2015
461,Luis Fonsi-Despacito - Remix-2017
372,Lukas Graham-7 Years-2016
214,MAGIC!-Rude-2014
586,Mabel-Don't Call Me Up-2019
165,Macklemore & Ryan Lewis-Can't Hold Us (feat. Ray Dalton)-2013
305,"Macklemore & Ryan Lewis-Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)-2015"
169,Macklemore & Ryan Lewis-Thrift Shop (feat. Wanz)-2013
343,Madonna-Ghosttown-2015
346,Madonna-Living For Love-2015
388,Major Lazer-Cold Water (feat. Justin Bieber & MØ)-2016
390,Major Lazer-Light It Up (feat. Nyla & Fuse ODG) [Remix]-2016
641,Maluma-Hawái-2020
199,Mariah Carey-#Beautiful-2013
262,Mariah Carey-You're Mine (Eternal)-2014
598,Mark Ronson-Find U Again (feat. Camila Cabello)-2019
601,Mark Ronson-Nothing Breaks Like a Heart (feat. Miley Cyrus)-2019
272,Mark Ronson-Uptown Funk-2015
288,Maroon 5-Animals-2015
470,Maroon 5-Cold (feat. Future)-2017
176,Maroon 5-Daylight-2013
592,Maroon 5-Girls Like You (feat. Cardi B)-2019
177,Maroon 5-Love Somebody-2013
218,Maroon 5-Maps-2014
572,Maroon 5-Memories-2019
621,Maroon 5-Memories-2020
23,Maroon 5-Misery-2010
57,Maroon 5-Moves Like Jagger - Studio Recording From The Voice Performance-2011
117,Maroon 5-One More Night-2012
107,Maroon 5-Payphone-2012
322,Maroon 5-Sugar-2015
274,Maroon 5-Sugar-2015
555,Maroon 5-Wait-2018
526,Maroon 5-What Lovers Do (feat. SZA)-2018
579,Marshmello-Happier-2019
522,Marshmello-Silence-2018
367,Martin Garrix-In the Name of Love-2016
463,Martin Garrix-There for You-2017
50,Martin Solveig-Hello-2010
663,Masked Wolf-Astronaut In The Ocean-2021
324,Meghan Trainor-All About That Bass-2015
296,Meghan Trainor-Dear Future Husband-2015
376,Meghan Trainor-Like I'm Gonna Lose You (feat. John Legend)-2016
313,Meghan Trainor-Lips Are Movin-2015
389,Meghan Trainor-Me Too-2016
400,Meghan Trainor-NO-2016
227,Michael Jackson-Love Never Felt So Good-2014
12,Mike Posner-Cooler Than Me - Single Mix-2010
380,Mike Posner-I Took A Pill In Ibiza - Seeb Remix-2016
84,Mike Posner-Please Don't Go-2011
226,Miley Cyrus-Adore You-2014
454,Miley Cyrus-Malibu-2017
145,Miley Cyrus-We Can't Stop-2013
148,Miley Cyrus-Wrecking Ball-2013
490,Miley Cyrus-Younger Now-2017
432,Missy Elliott-Pep Rally-2016
418,Missy Elliott-WTF (Where They From)-2016
283,Mr. Probz-Waves - Robin Schulz Radio Edit-2015
685,Myke Towers-Bandido-2021
395,MØ-Final Song-2016
662,Måneskin-Beggin'-2021
686,Måneskin-I WANNA BE YOUR SLAVE-2021
551,N.E.R.D-Lemon-2018
310,Naughty Boy-Runnin' (Lose It All)-2015
403,Naughty Boy-Runnin' (Lose It All)-2016
168,Ne-Yo-Let Me Love You (Until You Learn To Love Yourself)-2013
441,Nelly Furtado-Behind Your Back-2016
25,Neon Trees-Animal-2010
157,Neon Trees-Everybody Talks-2013
489,Niall Horan-Slow Hands-2017
560,Niall Horan-This Town-2018
429,Nick Jonas-Champagne Problems-2016
392,Nick Jonas-Close-2016
303,Nick Jonas-Jealous - Remix-2015
502,Nick Jonas-Remember I Told You-2017
257,Nicki Minaj-Anaconda-2014
542,Nicki Minaj-Chun-Li-2018
100,Nicki Minaj-Moment 4 Life - Album Version (Edited)-2011
103,Nicki Minaj-Muny - Album Version (Edited)-2011
116,Nicki Minaj-Starships-2012
97,Nicki Minaj-Super Bass-2011
670,Olivia Rodrigo-deja vu-2021
653,Olivia Rodrigo-drivers license-2021
656,Olivia Rodrigo-good 4 u-2021
681,Olivia Rodrigo-traitor-2021
308,Olly Murs-Up-2015
159,One Direction-Best Song Ever-2013
160,One Direction-Kiss You-2013
284,One Direction-Night Changes-2015
342,One Direction-Perfect-2015
349,One Direction-Steal My Girl-2015
141,One Direction-Story of My Life-2013
108,One Direction-What Makes You Beautiful-2012
24,OneRepublic-All The Right Moves-2010
69,OneRepublic-Good Life-2011
316,OneRepublic-I Lived-2015
170,OneRepublic-If I Lose Myself - Alesso vs OneRepublic-2013
236,OneRepublic-Love Runs Out-2014
497,OneRepublic-No Vacancy (with Sebastián Yatra)-2017
478,OneRepublic-Rich Love (with Seeb)-2017
7,OneRepublic-Secrets-2010
