,artist_name,track_name,year,energy,danceability,loudness,acousticness,speechiness,liveness,valence,bpm,duration
219,Bruno Mars,Treasure,2014,0.069,0.087,-0.005,4e-05,0.0004,0.0032,0.094,0.116,179.0
220,Passenger,Let Her Go,2014,0.054,0.051,-0.007,0.00039,0.0006,0.001,0.024,0.075,253.0
221,Ariana Grande,Problem,2014,0.081,0.066,-0.005,2e-05,0.0015,0.0016,0.063,0.103,194.0
222,Bastille,Pompeii,2014,0.072,0.068,-0.006,8e-05,0.0004,0.0027,0.057,0.127,214.0
223,Lorde,Team,2014,0.058,0.069,-0.007,0.00017,0.0009,0.0031,0.042,0.1,193.0
224,John Newman,Love Me Again,2014,0.089,0.05,-0.005,0.0,0.0004,0.001,0.021,0.126,240.0
225,Disclosure,Latch,2014,0.073,0.05,-0.005,2e-05,0.0017,0.0009,0.052,0.122,256.0
226,Miley Cyrus,Adore You,2014,0.066,0.058,-0.005,0.00011,0.0003,0.0011,0.02,0.12,279.0
227,Michael Jackson,Love Never Felt So Good,2014,0.072,0.078,-0.006,0.00013,0.0004,0.0007,0.071,0.118,246.0
228,Ellie Goulding,Burn,2014,0.078,0.056,-0.005,0.00031,0.0004,0.0011,0.033,0.087,231.0
229,5 Seconds of Summer,She Looks So Perfect,2014,0.095,0.049,-0.004,0.0,0.0013,0.0033,0.044,0.16,202.0
230,Iggy Azalea,Fancy,2014,0.072,0.091,-0.004,9e-05,0.0007,0.0005,0.038,0.095,200.0
231,Jason Derulo,Talk Dirty (feat. 2 Chainz),2014,0.065,0.076,-0.007,3e-05,0.0023,0.0031,0.076,0.1,178.0
232,Bruno Mars,Gorilla,2014,0.054,0.072,-0.007,0.00045,0.0004,0.001,0.064,0.14,244.0
233,Christina Perri,human,2014,0.049,0.044,-0.006,0.00013,0.0004,0.0011,0.025,0.144,251.0
234,Bruno Mars,Young Girls,2014,0.075,0.056,-0.005,0.00046,0.0003,0.0021,0.05,0.126,229.0
235,Jason Derulo,Wiggle (feat. Snoop Dogg),2014,0.062,0.07,-0.007,8e-05,0.0025,0.0016,0.072,0.082,193.0
236,OneRepublic,Love Runs Out,2014,0.093,0.072,-0.004,0.00017,0.0006,0.0008,0.074,0.12,225.0
237,Katy Perry,This Is How We Do,2014,0.064,0.069,-0.006,2e-05,0.0005,0.0015,0.08,0.096,204.0
238,Austin Mahone,Mmm Yeah (feat. Pitbull),2014,0.092,0.071,-0.004,0.0,0.0004,0.0027,0.098,0.126,232.0
239,Fergie,A Little Party Never Killed Nobody (All We Got),2014,0.062,0.076,-0.006,1e-05,0.0018,0.0009,0.052,0.13,241.0
240,The Chainsmokers,#SELFIE,2014,0.092,0.079,-0.003,1e-05,0.0025,0.0008,0.066,0.128,184.0
241,Beyoncé,Partition,2014,0.044,0.041,-0.012,3e-05,0.0029,0.0031,0.017,0.186,319.0
242,Katy Perry,Birthday,2014,0.067,0.072,-0.005,9e-05,0.0007,0.0011,0.084,0.126,215.0
243,Lady Gaga,G.U.Y.,2014,0.092,0.062,-0.003,1e-05,0.0004,0.0012,0.057,0.11,233.0
244,Zedd,Stay The Night - Featuring Hayley Williams Of Paramore,2014,0.074,0.06,-0.003,0.00011,0.0004,0.0009,0.046,0.128,217.0
245,Demi Lovato,"Let It Go - From ""Frozen / Single Version",2014,0.066,0.05,-0.006,3e-05,0.0004,0.0027,0.025,0.14,226.0
246,Birdy,Wings,2014,0.071,0.047,-0.005,8e-05,0.0003,0.0016,0.022,0.083,252.0
247,Shakira,Can't Remember to Forget You (feat. Rihanna),2014,0.081,0.069,-0.004,0.00012,0.0007,0.0014,0.082,0.138,207.0
248,David Guetta,Shot Me Down (feat. Skylar Grey) - Radio Edit,2014,0.077,0.035,-0.004,6e-05,0.0005,0.0012,0.004,0.192,191.0
249,A Great Big World,Say Something,2014,0.015,0.045,-0.009,0.00087,0.0003,0.0009,0.009,0.138,229.0
250,Coldplay,A Sky Full of Stars,2014,0.068,0.055,-0.006,1e-05,0.0003,0.0021,0.016,0.125,268.0
251,Pharrell Williams,Come Get It Bae,2014,0.08,0.093,-0.006,0.00027,0.0008,0.001,0.09,0.12,202.0
252,Sia,Chandelier,2014,0.078,0.029,-0.003,2e-05,0.0007,0.0007,0.062,0.174,216.0
253,Beyoncé,XO,2014,0.079,0.047,-0.009,0.00017,0.0026,0.0031,0.021,0.17,216.0
254,Pitbull,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],2014,0.094,0.06,-0.004,0.0,0.0007,0.001,0.055,0.125,222.0
255,Birdy,Not About Angels,2014,0.014,0.041,-0.01,0.00097,0.0004,0.0009,0.023,0.116,190.0
256,Beyoncé,Drunk in Love,2014,0.062,0.059,-0.007,1e-05,0.0005,0.0018,0.04,0.14,323.0
257,Nicki Minaj,Anaconda,2014,0.06,0.096,-0.006,7e-05,0.0018,0.0021,0.065,0.13,260.0
258,Charli XCX,Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verräter,2014,0.081,0.068,-0.004,7e-05,0.0006,0.0034,0.064,0.092,169.0
259,Shakira,La La La (Brasil 2014) (feat. Carlinhos Brown),2014,0.082,0.08,-0.005,0.00018,0.0004,0.0035,0.061,0.128,198.0
260,Birdy,Tee Shirt - Soundtrack Version,2014,0.034,0.068,-0.009,0.00084,0.0003,0.0009,0.056,0.076,160.0
261,Birdy,Words as Weapons,2014,0.035,0.053,-0.009,0.00028,0.0003,0.0014,0.019,0.12,239.0
262,Mariah Carey,You're Mine (Eternal),2014,0.058,0.063,-0.007,0.00028,0.0007,0.0038,0.056,0.149,224.0
263,Lily Allen,Sheezus,2014,0.05,0.078,-0.007,0.00015,0.0004,0.0011,0.039,0.13,235.0
264,Lea Michele,Cannonball,2014,0.082,0.056,-0.003,2e-05,0.0005,0.0019,0.057,0.092,215.0
265,Alicia Keys,It's On Again - Main Soundtrack,2014,0.054,0.064,-0.009,1e-04,0.0011,0.0025,0.053,0.11,230.0
266,Jennifer Lopez,I Luh Ya Papi,2014,0.073,0.074,-0.006,0.00045,0.0042,0.0012,0.059,0.096,207.0
267,Justin Timberlake,Not a Bad Thing,2014,0.073,0.059,-0.006,0.00027,0.0006,0.0038,0.046,0.086,266.0
268,Ed Sheeran,Thinking out Loud,2015,0.045,0.078,-0.006,0.00047,0.0003,0.0018,0.059,0.079,282.0
269,Sam Smith,I'm Not The Only One,2015,0.049,0.068,-0.006,0.00053,0.0004,0.0008,0.049,0.082,239.0
270,The Weeknd,The Hills,2015,0.056,0.058,-0.007,7e-05,0.0005,0.0014,0.014,0.113,242.0
271,Justin Bieber,Love Yourself,2015,0.038,0.061,-0.01,0.00084,0.0044,0.0028,0.052,0.1,234.0
272,Mark Ronson,Uptown Funk,2015,0.061,0.086,-0.007,1e-05,0.0008,0.0003,0.093,0.115,270.0
273,Hozier,Take Me To Church,2015,0.066,0.057,-0.005,0.00063,0.0005,0.0012,0.044,0.129,242.0
274,Maroon 5,Sugar,2015,0.079,0.075,-0.007,6e-05,0.0003,0.0009,0.088,0.12,235.0
275,Justin Bieber,Sorry,2015,0.076,0.065,-0.004,8e-05,0.0005,0.003,0.041,0.1,201.0
276,Rihanna,FourFiveSeconds,2015,0.027,0.058,-0.006,0.00088,0.0005,0.0013,0.035,0.206,188.0
277,Ellie Goulding,"Love Me Like You Do - From ""Fifty Shades Of Grey""",2015,0.061,0.026,-0.007,0.00025,0.0005,0.0013,0.028,0.19,253.0
278,The Weeknd,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",2015,0.038,0.066,-0.006,0.00039,0.0003,0.001,0.044,0.12,252.0
279,Justin Bieber,What Do You Mean?,2015,0.057,0.085,-0.008,0.00059,0.001,0.0008,0.079,0.125,206.0
280,Shawn Mendes,Stitches,2015,0.075,0.075,-0.007,2e-05,0.0007,0.0005,0.076,0.15,207.0
281,Jason Derulo,Want to Want Me,2015,0.068,0.078,-0.006,1e-05,0.0006,0.0011,0.066,0.114,208.0
282,Flo Rida,My House,2015,0.07,0.069,-0.005,2e-05,0.0005,0.0013,0.074,0.094,192.0
283,Mr. Probz,Waves - Robin Schulz Radio Edit,2015,0.051,0.083,-0.009,1e-05,0.0004,0.0008,0.045,0.12,208.0
284,One Direction,Night Changes,2015,0.052,0.067,-0.008,0.00086,0.0004,0.0012,0.037,0.12,227.0
285,Calvin Harris,How Deep Is Your Love,2015,0.087,0.074,-0.004,4e-05,0.0007,0.0039,0.034,0.122,213.0
286,Zara Larsson,Never Forget You,2015,0.073,0.058,-0.006,0.0,0.0005,0.0027,0.028,0.146,213.0
287,Ariana Grande,Love Me Harder,2015,0.071,0.047,-0.004,1e-05,0.0003,0.0008,0.024,0.099,236.0
288,Maroon 5,Animals,2015,0.074,0.028,-0.006,0.0,0.0009,0.0059,0.033,0.19,231.0
289,Calvin Harris,Blame,2015,0.086,0.041,-0.004,3e-05,0.0008,0.0034,0.035,0.128,213.0
290,Fifth Harmony,Worth It,2015,0.077,0.088,-0.004,6e-05,0.0009,0.0012,0.059,0.1,225.0
291,Ariana Grande,Break Free,2015,0.07,0.069,-0.005,1e-05,0.0005,0.002,0.028,0.13,215.0
292,Ed Sheeran,Don't,2015,0.061,0.081,-0.007,1e-05,0.0007,0.0064,0.085,0.095,220.0
293,Sia,Elastic Heart,2015,0.079,0.042,-0.005,1e-05,0.0005,0.0015,0.05,0.13,257.0
294,Clean Bandit,Rather Be (feat. Jess Glynne),2015,0.059,0.08,-0.007,0.00016,0.0004,0.0019,0.055,0.121,228.0
295,Adele,Hello,2015,0.045,0.048,-0.006,0.00034,0.0003,0.0009,0.029,0.158,295.0
296,Meghan Trainor,Dear Future Husband,2015,0.078,0.066,-0.005,0.00038,0.0019,0.0032,0.083,0.079,184.0
297,Beyoncé,43776,2015,0.071,0.075,-0.005,1e-05,0.0013,0.0013,0.056,0.136,214.0
298,Selena Gomez,The Heart Wants What It Wants,2015,0.079,0.062,-0.005,5e-05,0.0004,0.0014,0.062,0.083,227.0
299,David Guetta,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",2015,0.073,0.06,-0.004,0.00024,0.0015,0.0033,0.053,0.086,193.0
300,Christina Aguilera,Genie In a Bottle,2015,0.08,0.063,-0.007,0.00021,0.0016,0.0014,0.091,0.176,218.0
301,Justin Bieber,Company,2015,0.08,0.059,-0.005,0.00013,0.0006,0.0008,0.043,0.095,208.0
302,Ed Sheeran,Sing,2015,0.067,0.082,-0.004,0.0003,0.0005,0.0006,0.094,0.12,235.0
303,Nick Jonas,Jealous - Remix,2015,0.071,0.068,-0.004,1e-05,0.0008,0.0044,0.045,0.093,222.0
304,Demi Lovato,Really Don't Care,2015,0.073,0.071,-0.004,0.00012,0.0009,0.0019,0.085,0.121,202.0
305,Macklemore & Ryan Lewis,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",2015,0.061,0.083,-0.004,9e-05,0.0007,0.0029,0.071,0.11,293.0
306,Paloma Faith,Only Love Can Hurt Like This,2015,0.089,0.057,-0.005,1e-04,0.0008,0.0033,0.031,0.091,233.0
307,Kelly Clarkson,Heartbeat Song,2015,0.08,0.049,-0.004,1e-05,0.0005,0.0006,0.048,0.149,199.0
308,Olly Murs,Up,2015,0.085,0.069,-0.005,2e-05,0.0003,0.001,0.064,0.115,224.0
309,Jason Derulo,Trumpets,2015,0.07,0.063,-0.005,0.00056,0.0024,0.001,0.064,0.082,217.0
310,Naughty Boy,Runnin' (Lose It All),2015,0.085,0.032,-0.006,1e-05,0.0008,0.0048,0.008,0.139,213.0
311,Selena Gomez,Same Old Love,2015,0.059,0.067,-0.004,2e-05,0.0003,0.0021,0.044,0.098,229.0
312,Zedd,I Want You To Know,2015,0.085,0.058,-0.003,1e-05,0.0006,0.0014,0.037,0.13,240.0
313,Meghan Trainor,Lips Are Movin,2015,0.083,0.078,-0.005,5e-05,0.0005,0.0011,0.095,0.139,183.0
314,Justin Bieber,I'll Show You,2015,0.061,0.036,-0.007,5e-05,0.001,0.0018,0.008,0.192,200.0
315,Alessia Cara,Here,2015,0.082,0.038,-0.004,8e-05,0.001,0.0008,0.033,0.12,199.0
316,OneRepublic,I Lived,2015,0.085,0.059,-0.005,7e-05,0.0004,0.0027,0.034,0.12,235.0
317,Pitbull,Fireball (feat. John Ryan),2015,0.094,0.069,-0.005,9e-05,0.0006,0.0005,0.079,0.123,235.0
318,Sigala,Easy Love,2015,0.094,0.068,-0.004,0.00018,0.0006,0.0012,0.065,0.124,230.0
319,Justin Bieber,The Feeling,2015,0.081,0.053,-0.006,8e-05,0.0006,0.001,0.021,0.127,245.0
320,Carly Rae Jepsen,I Really Like You,2015,0.081,0.062,-0.005,1e-05,0.0004,0.0022,0.06,0.122,205.0
321,Fifth Harmony,BO$$,2015,0.087,0.081,-0.005,1e-05,0.0011,0.0005,0.074,0.103,171.0
322,Maroon 5,Sugar,2015,0.079,0.075,-0.007,6e-05,0.0003,0.0009,0.088,0.12,235.0
323,Ariana Grande,Focus,2015,0.088,0.067,-0.006,0.00027,0.0024,0.0044,0.079,0.1,211.0
324,Meghan Trainor,All About That Bass,2015,0.088,0.081,-0.004,5e-05,0.0005,0.0011,0.096,0.134,189.0
325,Ellie Goulding,On My Mind,2015,0.071,0.07,-0.007,0.00026,0.0005,0.0009,0.074,0.155,213.0
326,Little Mix,Love Me Like You,2015,0.067,0.079,-0.004,0.00021,0.0004,0.0028,0.085,0.106,198.0
327,Avicii,Broken Arrows,2015,0.067,0.063,-0.007,5e-05,0.0005,0.001,0.029,0.116,233.0
328,Jennifer Lopez,Booty,2015,0.095,0.071,-0.004,0.0,0.0005,0.0026,0.04,0.129,210.0
329,Justin Bieber,What Do You Mean? - Acoustic,2015,0.036,0.077,-0.011,0.00079,0.0004,0.001,0.076,0.125,204.0
330,Justin Bieber,Mark My Words,2015,0.026,0.038,-0.009,0.00088,0.0003,0.0017,0.052,0.114,134.0
331,Rudimental,Lay It All on Me,2015,0.075,0.067,-0.007,0.00014,0.0004,0.0019,0.048,0.123,242.0
332,Rihanna,American Oxygen,2015,0.075,0.039,-0.006,5e-05,0.0009,0.0033,0.048,0.078,320.0
333,Jessie J,Bang Bang,2015,0.075,0.071,-0.004,0.00027,0.0009,0.0038,0.073,0.15,199.0
334,Lost Frequencies,Reality - Radio Edit,2015,0.07,0.071,-0.008,2e-05,0.0003,0.0007,0.06,0.122,159.0
335,Sia,Alive,2015,0.076,0.051,-0.004,0.00025,0.0005,0.0011,0.044,0.1,264.0
336,Robin Schulz,Sugar (feat. Francesco Yates),2015,0.082,0.064,-0.005,2e-05,0.0006,0.0016,0.064,0.123,219.0
337,Justin Bieber,Been You,2015,0.078,0.074,-0.006,2e-05,0.0007,0.0032,0.086,0.113,199.0
338,Lilly Wood and The Prick,Prayer in C - Robin Schulz Radio Edit,2015,0.089,0.076,-0.005,2e-05,0.0003,0.0062,0.078,0.123,189.0
339,Wiz Khalifa,See You Again (feat. Charlie Puth),2015,0.048,0.069,-0.008,0.00037,0.0008,0.0006,0.028,0.08,230.0
340,Alesso,Heroes (we could be),2015,0.075,0.052,-0.004,4e-05,0.0006,0.0024,0.035,0.126,210.0
341,Jennifer Lopez,"Feel The Light - From The ""Home"" Soundtrack",2015,0.06,0.047,-0.006,0.00033,0.0005,0.0009,0.004,0.156,292.0
342,One Direction,Perfect,2015,0.082,0.065,-0.005,6e-05,0.0008,0.0012,0.04,0.1,230.0
343,Madonna,Ghosttown,2015,0.055,0.054,-0.007,4e-05,0.0004,0.0012,0.009,0.079,250.0
344,David Guetta,Bang My Head (feat. Sia & Fetty Wap),2015,0.087,0.06,-0.004,5e-05,0.0008,0.001,0.059,0.108,193.0
345,Ed Sheeran,Bloodstream,2015,0.059,0.048,-0.006,0.0002,0.0005,0.0006,0.027,0.089,309.0
346,Madonna,Living For Love,2015,0.079,0.067,-0.005,4e-05,0.0009,0.0025,0.039,0.123,219.0
347,Gwen Stefani,Baby Don't Lie,2015,0.055,0.069,-0.005,1e-05,0.0003,0.001,0.026,0.1,203.0
348,Jess Glynne,Don't Be so Hard on Yourself,2015,0.082,0.057,-0.003,6e-05,0.0003,0.0016,0.066,0.12,211.0
349,One Direction,Steal My Girl,2015,0.076,0.047,-0.006,0.0,0.0004,0.0014,0.052,0.077,227.0
350,Pitbull,"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")",2015,0.085,0.068,-0.003,1e-05,0.0006,0.0006,0.093,0.127,193.0
351,Alicia Keys,We Are Here,2015,0.067,0.064,-0.006,0.00043,0.0004,0.0008,0.008,0.093,285.0
352,Florence + The Machine,St Jude,2015,0.043,0.026,-0.011,0.00075,0.0003,0.0011,0.009,0.117,225.0
353,David Guetta,Yesterday (feat. Bebe Rexha),2015,0.078,0.057,-0.004,2e-05,0.0003,0.0033,0.028,0.128,243.0
354,Pitbull,Time of Our Lives,2015,0.08,0.072,-0.006,9e-05,0.0006,0.0069,0.072,0.124,229.0
355,Hilary Duff,Sparks,2015,0.088,0.085,-0.005,4e-05,0.0006,0.001,0.079,0.122,186.0
356,Ricky Martin,Mr. Put It Down,2015,0.078,0.08,-0.006,1e-05,0.0018,0.0004,0.083,0.128,196.0
357,Katy Perry,Legendary Lovers,2015,0.084,0.062,-0.005,2e-05,0.0008,0.0008,0.039,0.126,224.0
358,Gwen Stefani,Spark The Fire,2015,0.08,0.088,-0.004,8e-05,0.0006,0.002,0.054,0.12,202.0
359,Kelly Clarkson,Run Run Run,2015,0.037,0.028,-0.007,0.00045,0.0004,0.0011,0.008,0.112,273.0
360,Enrique Iglesias,Let Me Be Your Lover,2015,0.09,0.072,-0.004,1e-05,0.0013,0.0006,0.088,0.112,238.0
361,Jennifer Hudson,Dangerous,2015,0.053,0.09,-0.005,0.0,0.0005,0.0008,0.065,0.109,255.0
362,Fergie,L.A.LOVE (la la),2015,0.039,0.048,-0.008,2e-05,0.0009,0.0026,0.027,0.202,193.0
363,The Weeknd,The Hills,2016,0.056,0.058,-0.007,7e-05,0.0005,0.0014,0.014,0.113,242.0
364,Justin Bieber,Love Yourself,2016,0.038,0.061,-0.01,0.00084,0.0044,0.0028,0.052,0.1,234.0
365,DNCE,Cake By The Ocean,2016,0.075,0.077,-0.005,0.00015,0.0005,0.0004,0.09,0.119,219.0
366,The Chainsmokers,Don't Let Me Down,2016,0.087,0.053,-0.005,0.00016,0.0017,0.0014,0.042,0.16,208.0
367,Martin Garrix,In the Name of Love,2016,0.052,0.05,-0.006,0.00011,0.0004,0.0045,0.017,0.134,196.0
368,Ariana Grande,Into You,2016,0.073,0.062,-0.006,2e-05,0.0011,0.0014,0.037,0.108,244.0
369,Calvin Harris,This Is What You Came For,2016,0.093,0.063,-0.003,0.0002,0.0003,0.0015,0.047,0.124,222.0
370,Lady Gaga,Million Reasons,2016,0.042,0.067,-0.008,0.00049,0.0004,0.0011,0.015,0.13,205.0
371,Rihanna,Needed Me,2016,0.031,0.067,-0.008,0.00011,0.0024,0.0008,0.03,0.111,192.0
372,Lukas Graham,7 Years,2016,0.047,0.077,-0.006,0.00029,0.0005,0.0039,0.034,0.12,237.0
373,Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",2016,0.083,0.067,-0.006,1e-05,0.0007,0.0019,0.07,0.113,236.0
374,Fifth Harmony,Work from Home (feat. Ty Dolla $ign),2016,0.059,0.08,-0.006,1e-04,0.0004,0.0006,0.059,0.105,214.0
375,Alessia Cara,Scars To Your Beautiful,2016,0.074,0.057,-0.006,3e-05,0.0013,0.0011,0.045,0.097,230.0
376,Meghan Trainor,Like I'm Gonna Lose You (feat. John Legend),2016,0.053,0.063,-0.007,0.0004,0.0004,0.0018,0.042,0.108,225.0
377,Rihanna,Work,2016,0.053,0.073,-0.006,8e-05,0.0009,0.0009,0.056,0.092,219.0
378,Shawn Mendes,Stitches,2016,0.075,0.075,-0.007,2e-05,0.0007,0.0005,0.076,0.15,207.0
379,G-Eazy,"Me, Myself & I",2016,0.067,0.076,-0.007,2e-05,0.001,0.0016,0.038,0.112,251.0
380,Mike Posner,I Took A Pill In Ibiza - Seeb Remix,2016,0.071,0.066,-0.007,4e-05,0.0011,0.0008,0.069,0.102,198.0
381,Ariana Grande,Dangerous Woman,2016,0.06,0.066,-0.005,5e-05,0.0004,0.0036,0.029,0.134,236.0
382,Hailee Steinfeld,Starving,2016,0.062,0.073,-0.004,0.00038,0.0006,0.0011,0.051,0.1,182.0
383,Little Mix,Shout Out to My Ex,2016,0.075,0.077,-0.004,2e-05,0.0009,0.0011,0.08,0.126,246.0
384,BØRNS,Electric Love,2016,0.08,0.061,-0.008,1e-05,0.0005,0.0026,0.052,0.12,218.0
385,Demi Lovato,Confident,2016,0.075,0.059,-0.006,0.0,0.0007,0.0009,0.034,0.13,206.0
386,Drake,Too Good,2016,0.065,0.079,-0.008,5e-05,0.001,0.001,0.039,0.118,263.0
387,The Chainsmokers,Roses,2016,0.08,0.071,-0.007,4e-05,0.0006,0.0031,0.034,0.1,227.0
388,Major Lazer,Cold Water (feat. Justin Bieber & MØ),2016,0.08,0.061,-0.005,7e-05,0.0004,0.0016,0.05,0.093,185.0
389,Meghan Trainor,Me Too,2016,0.069,0.093,-0.006,1e-04,0.001,0.0048,0.084,0.124,181.0
390,Major Lazer,Light It Up (feat. Nyla & Fuse ODG) [Remix],2016,0.088,0.075,-0.004,4e-05,0.0007,0.0023,0.075,0.108,166.0
391,Jennifer Lopez,Ain't Your Mama,2016,0.068,0.076,-0.006,5e-05,0.0023,0.0007,0.082,0.12,218.0
392,Nick Jonas,Close,2016,0.062,0.065,-0.005,0.00025,0.0008,0.0014,0.04,0.124,234.0
393,DNCE,Toothbrush,2016,0.079,0.055,-0.006,0.00012,0.0013,0.0047,0.082,0.105,232.0
394,The Chainsmokers,All We Know,2016,0.059,0.066,-0.009,1e-04,0.0003,0.0012,0.03,0.09,194.0
395,MØ,Final Song,2016,0.067,0.07,-0.006,1e-05,0.0003,0.0008,0.025,0.105,236.0
396,Justin Bieber,Company,2016,0.08,0.059,-0.005,0.00013,0.0006,0.0008,0.043,0.095,208.0
397,Selena Gomez,Hands To Myself,2016,0.05,0.081,-0.007,1e-05,0.0012,0.0034,0.047,0.111,201.0
398,Adele,All I Ask,2016,0.028,0.059,-0.005,0.00088,0.0003,0.0015,0.034,0.142,272.0
399,P!nk,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",2016,0.07,0.063,-0.006,1e-05,0.0015,0.0011,0.05,0.163,215.0
400,Meghan Trainor,NO,2016,0.08,0.056,-0.004,1e-05,0.0022,0.0074,0.065,0.092,214.0
401,Selena Gomez,Kill Em With Kindness,2016,0.088,0.076,-0.005,1e-05,0.0004,0.001,0.04,0.12,218.0
402,Tove Lo,Cool Girl,2016,0.069,0.067,-0.007,0.00031,0.0011,0.0008,0.02,0.102,199.0
403,Naughty Boy,Runnin' (Lose It All),2016,0.085,0.032,-0.006,1e-05,0.0008,0.0048,0.008,0.139,213.0
404,Alessia Cara,Here,2016,0.082,0.038,-0.004,8e-05,0.001,0.0008,0.033,0.12,199.0
405,Lady Gaga,Perfect Illusion,2016,0.086,0.061,-0.005,0.0,0.0004,0.0036,0.066,0.125,182.0
406,ZAYN,PILLOWTALK,2016,0.07,0.059,-0.004,1e-04,0.0005,0.0009,0.043,0.125,204.0
407,Taylor Swift,Out Of The Woods,2016,0.084,0.055,-0.007,0.0,0.0004,0.0034,0.034,0.092,236.0
408,Katy Perry,Rise,2016,0.064,0.055,-0.006,5e-05,0.0005,0.0011,0.044,0.101,203.0
409,OneRepublic,Wherever I Go,2016,0.069,0.055,-0.006,9e-05,0.0004,0.0027,0.035,0.1,170.0
410,Demi Lovato,Body Say,2016,0.074,0.063,-0.005,0.0,0.0004,0.0028,0.026,0.087,194.0
411,Shawn Mendes,Don't Be A Fool,2016,0.034,0.047,-0.006,0.0006,0.0004,0.001,0.027,0.175,216.0
412,ZAYN,LIKE I WOULD,2016,0.083,0.056,-0.006,2e-05,0.0011,0.0026,0.023,0.113,192.0
413,Sia,Cheap Thrills,2016,0.08,0.059,-0.005,6e-05,0.0022,0.0008,0.073,0.09,225.0
414,Bebe Rexha,I Got You,2016,0.089,0.061,-0.005,5e-05,0.0005,0.0009,0.032,0.098,192.0
415,Carly Rae Jepsen,Run Away With Me,2016,0.072,0.056,-0.006,1e-05,0.0005,0.0005,0.025,0.119,251.0
416,Snakehips,Cruel (feat. ZAYN),2016,0.088,0.06,-0.004,2e-05,0.0012,0.0016,0.032,0.11,228.0
417,Adele,Send My Love (To Your New Lover),2016,0.052,0.069,-0.008,4e-05,0.001,0.0017,0.056,0.164,223.0
418,Missy Elliott,WTF (Where They From),2016,0.082,0.093,-0.003,2e-05,0.002,0.0006,0.056,0.12,193.0
419,Years & Years,Desire,2016,0.078,0.071,-0.005,0.0003,0.0006,0.003,0.064,0.126,203.0
420,Adele,When We Were Young,2016,0.059,0.038,-0.006,0.00035,0.0005,0.0009,0.027,0.144,291.0
421,Shawn Mendes,I Know What You Did Last Summer,2016,0.077,0.068,-0.005,0.00011,0.001,0.0016,0.072,0.114,224.0
422,Florence + The Machine,Wish That You Were Here - From Miss Peregrines Home for Peculiar Children Original Motion Picture,2016,0.057,0.037,-0.006,0.00072,0.0003,0.0013,0.012,0.094,403.0
423,Emeli Sandé,Hurts,2016,0.064,0.058,-0.008,2e-05,0.0003,0.0015,0.018,0.106,238.0
424,Christina Aguilera,Change,2016,0.054,0.062,-0.006,0.00068,0.0008,0.0013,0.02,0.082,187.0
425,Britney Spears,Make Me... (feat. G-Eazy),2016,0.07,0.07,-0.007,0.00016,0.001,0.0022,0.058,0.123,231.0
426,Birdy,Keeping Your Head Up,2016,0.078,0.06,-0.005,0.00016,0.0005,0.0019,0.053,0.122,208.0
427,Zedd,True Colors,2016,0.079,0.057,-0.003,0.0004,0.0004,0.001,0.049,0.126,225.0
428,Gwen Stefani,Make Me Like You,2016,0.071,0.074,-0.005,4e-05,0.0005,0.0013,0.08,0.118,217.0
429,Nick Jonas,Champagne Problems,2016,0.078,0.073,-0.005,0.0,0.0013,0.0009,0.064,0.108,193.0
430,DNCE,Blown,2016,0.095,0.063,-0.005,0.0,0.0004,0.001,0.073,0.13,197.0
431,John Legend,Start,2016,0.004,0.052,-0.015,0.00099,0.0004,0.0009,0.026,0.11,310.0
432,Missy Elliott,Pep Rally,2016,0.075,0.083,-0.004,0.00022,0.0012,0.002,0.032,0.09,263.0
433,Carly Rae Jepsen,Higher,2016,0.087,0.065,-0.005,1e-05,0.0006,0.0037,0.044,0.114,234.0
434,Britney Spears,Invitation,2016,0.065,0.037,-0.007,3e-05,0.0011,0.0009,0.016,0.112,200.0
435,Charlie Puth,One Call Away (feat. Tyga) - Remix,2016,0.069,0.075,-0.005,0.00026,0.0004,0.0013,0.052,0.091,192.0
436,Passenger,Beautiful Birds (feat. Birdy),2016,0.017,0.039,-0.013,0.00091,0.0003,0.0011,0.014,0.086,214.0
437,Hilary Duff,Little Lies,2016,0.076,0.057,-0.006,0.0,0.0006,0.0004,0.04,0.124,204.0
438,Britney Spears,Do You Wanna Come Over?,2016,0.07,0.075,-0.006,1e-05,0.0007,0.0011,0.045,0.121,203.0
439,Janet Jackson,BURNITUP!,2016,0.071,0.083,-0.007,5e-05,0.0018,0.0031,0.083,0.123,250.0
440,Joey Montana,Picky - Remix,2016,0.081,0.07,-0.003,9e-05,0.0007,0.0037,0.069,0.186,225.0
441,Nelly Furtado,Behind Your Back,2016,0.047,0.08,-0.01,0.00025,0.0004,0.0007,0.069,0.098,228.0
442,Adele,Million Years Ago,2016,0.0,0.0,-0.06,0.0,0.0,0.0,0.0,0.0,227.0
